user_id,country,role,app,failed_logins,mfa_failures,new_device,new_country,impossible_travel,after_hours,privileged,sensitive_app,dormant_account,contractor,downloads,risk_score,label,risk_level
user_27,China,admin,Slack,0,1,0,1,1,0,0,0,0,0,4,57,1,Suspicious
user_28,Germany,admin,Azure,1,0,0,1,0,0,0,1,0,0,2,36,1,Suspicious
user_29,US,manager,Azure,2,0,1,0,0,1,1,1,0,0,2,68,1,Suspicious
user_30,US,admin,Payroll,2,0,0,0,0,0,0,0,0,0,4,20,0,Normal
user_31,Nigeria,employee,AWS,1,1,1,0,1,0,0,1,0,0,5,75,2,High Risk
user_32,Russia,manager,Slack,0,2,0,0,0,0,0,0,0,1,6,40,1,Suspicious
user_33,India,contractor,Slack,4,0,1,1,0,0,0,1,1,0,6,89,2,High Risk
user_34,India,manager,GitHub,0,0,1,0,1,1,0,1,1,1,2,86,2,High Risk
user_35,UK,manager,Slack,2,1,0,0,0,0,1,0,0,0,3,46,1,Suspicious
user_36,Nigeria,service_account,Payroll,0,1,0,0,0,0,0,0,0,0,5,20,0,Normal
user_37,China,admin,AWS,2,1,0,0,1,0,0,0,0,0,1,49,1,Suspicious
user_38,UK,service_account,Payroll,0,0,0,0,0,1,0,1,0,0,0,22,0,Normal
user_39,Canada,employee,Azure,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal
user_40,Canada,manager,Slack,2,2,0,0,0,0,0,0,0,0,3,38,1,Suspicious
user_41,UK,contractor,ServiceNow,0,2,0,0,0,0,0,0,0,0,2,24,0,Normal
user_42,Canada,contractor,Payroll,0,1,0,0,0,0,0,0,0,0,1,12,0,Normal
user_43,India,service_account,GitHub,0,1,0,1,0,0,0,0,0,0,2,28,0,Normal
user_44,US,employee,Slack,1,0,0,1,0,0,1,1,0,0,4,58,1,Suspicious
user_45,Nigeria,admin,Salesforce,0,1,0,0,0,0,0,0,0,0,2,14,0,Normal
user_46,Nigeria,contractor,AWS,0,0,0,0,1,0,1,0,0,0,3,49,1,Suspicious
user_47,India,employee,Slack,3,2,0,0,0,1,0,1,0,0,3,66,1,Suspicious
user_48,Nigeria,service_account,Azure,0,1,1,0,0,0,0,1,0,0,5,44,1,Suspicious
user_49,UK,service_account,Salesforce,2,0,0,0,0,1,1,0,0,0,1,42,1,Suspicious
user_50,Nigeria,service_account,ServiceNow,3,1,1,0,0,1,0,0,0,0,4,58,1,Suspicious
user_51,Germany,manager,GitHub,0,1,0,0,1,0,0,0,0,0,6,47,1,Suspicious
user_52,UK,service_account,Azure,1,0,0,1,0,0,0,1,0,0,5,42,1,Suspicious
user_53,US,service_account,GitHub,0,1,0,0,0,1,0,0,0,0,2,24,0,Normal
user_54,India,employee,Salesforce,0,0,0,1,0,0,0,0,0,0,3,20,0,Normal
user_55,Russia,admin,AWS,2,0,0,0,0,0,0,0,0,0,2,16,0,Normal
user_56,US,manager,ServiceNow,1,0,0,0,0,1,1,0,0,0,1,36,1,Suspicious
user_57,Canada,employee,Slack,0,1,0,0,0,0,0,0,0,0,2,14,0,Normal
user_58,India,employee,Azure,0,2,0,0,0,0,1,0,0,0,0,38,1,Suspicious
user_59,UK,manager,Slack,0,0,0,1,0,0,0,0,0,0,4,22,0,Normal
user_60,India,service_account,AWS,2,1,1,0,0,0,0,0,0,0,4,42,1,Suspicious
user_61,Nigeria,service_account,Azure,0,0,1,0,0,0,0,1,0,0,0,24,0,Normal
user_62,China,manager,ServiceNow,0,2,0,0,0,1,0,0,0,0,2,34,0,Normal
user_63,Germany,admin,Payroll,1,0,0,0,0,0,0,0,0,1,2,18,0,Normal
user_64,Russia,contractor,ServiceNow,0,0,0,0,0,0,1,0,0,0,3,24,0,Normal
user_65,India,employee,AWS,3,0,0,0,0,0,1,0,0,0,7,50,1,Suspicious
user_66,Germany,employee,GitHub,0,2,0,1,0,0,1,0,0,0,8,68,1,Suspicious
user_67,US,service_account,ServiceNow,1,0,0,0,0,1,0,0,0,0,4,24,0,Normal
user_68,Germany,service_account,AWS,0,1,1,0,1,1,1,0,0,0,6,87,2,High Risk
user_69,US,employee,Slack,1,0,0,0,0,0,0,0,1,0,4,29,0,Normal
user_70,US,manager,Salesforce,0,0,1,1,0,0,0,1,0,1,3,52,1,Suspicious
user_71,US,admin,Salesforce,0,0,0,0,0,0,1,1,1,1,3,59,1,Suspicious
user_72,Germany,admin,Slack,0,1,0,0,0,0,0,1,0,0,6,34,0,Normal
user_73,India,manager,ServiceNow,1,0,0,0,0,0,0,0,0,0,5,16,0,Normal
user_74,UK,service_account,ServiceNow,0,2,1,1,0,1,0,1,0,0,3,74,2,High Risk
user_75,India,manager,Azure,1,0,0,0,0,1,0,0,0,0,5,26,0,Normal
user_76,India,contractor,AWS,0,1,1,0,0,1,0,1,0,0,2,48,1,Suspicious
user_77,Canada,employee,Slack,1,1,1,1,1,1,0,1,0,0,4,97,2,High Risk
user_78,China,admin,Payroll,0,1,0,0,0,0,0,0,0,0,2,14,0,Normal
user_79,China,contractor,Azure,2,1,0,1,0,1,0,0,0,0,4,54,1,Suspicious
user_80,US,employee,Salesforce,4,1,0,1,0,1,0,0,0,0,2,62,1,Suspicious
user_81,China,admin,Azure,0,0,0,0,0,0,0,0,0,0,5,10,0,Normal
user_82,Canada,manager,AWS,1,0,1,0,0,0,0,0,0,0,1,20,0,Normal
user_83,Germany,service_account,Payroll,0,0,0,0,0,0,0,1,0,0,2,16,0,Normal
user_84,UK,contractor,AWS,0,1,0,0,0,1,1,0,0,0,6,50,1,Suspicious
user_85,Nigeria,contractor,AWS,0,0,0,0,0,0,1,0,0,0,4,26,0,Normal
user_86,Canada,contractor,Azure,3,1,0,0,0,1,0,1,0,0,2,54,1,Suspicious
user_87,Canada,employee,Slack,2,1,1,1,0,0,0,1,0,0,3,66,1,Suspicious
user_88,US,employee,Azure,1,0,1,0,0,0,0,1,0,0,2,34,0,Normal
user_89,Germany,manager,Payroll,2,1,0,0,1,0,0,0,0,0,3,53,1,Suspicious
user_90,India,contractor,AWS,2,0,0,0,0,0,1,1,0,1,1,52,1,Suspicious
user_91,China,employee,AWS,0,0,0,1,0,0,0,1,0,0,0,26,0,Normal
user_92,China,employee,Payroll,0,2,1,0,0,0,0,0,0,0,0,32,0,Normal
user_93,Nigeria,contractor,GitHub,0,1,0,1,0,0,0,1,0,0,7,50,1,Suspicious
user_94,China,service_account,Slack,3,1,0,0,0,1,0,1,0,1,5,68,1,Suspicious
user_95,India,manager,AWS,3,0,1,0,0,0,0,0,0,0,2,34,0,Normal
user_96,Nigeria,manager,Salesforce,1,0,0,0,0,0,0,1,0,0,0,18,0,Normal
user_97,US,admin,Salesforce,0,0,0,0,0,0,1,1,0,1,0,38,1,Suspicious
user_98,US,service_account,Payroll,0,0,0,1,0,1,0,1,0,0,2,40,1,Suspicious
user_99,UK,employee,ServiceNow,0,1,0,0,0,0,0,0,0,0,3,16,0,Normal
user_100,Canada,manager,Salesforce,1,1,1,0,0,0,1,0,0,1,1,56,1,Suspicious
user_101,Canada,manager,Payroll,1,2,0,0,0,1,0,1,0,0,2,52,1,Suspicious
user_102,Canada,service_account,AWS,2,0,0,0,0,0,0,0,0,0,3,18,0,Normal
user_103,US,service_account,Salesforce,1,2,0,0,0,0,0,0,0,0,2,30,0,Normal
user_104,China,service_account,ServiceNow,0,0,0,0,0,0,1,1,0,0,6,42,1,Suspicious
user_105,Russia,admin,AWS,0,0,1,0,0,0,0,0,0,0,4,20,0,Normal
user_106,Russia,manager,GitHub,1,2,1,0,0,0,1,0,0,0,1,58,1,Suspicious
user_107,China,manager,Slack,0,0,0,0,1,0,0,0,0,0,5,35,1,Suspicious
user_108,Nigeria,contractor,GitHub,1,1,1,1,0,1,0,0,0,0,5,62,1,Suspicious
user_109,Canada,employee,Payroll,3,1,0,0,0,0,0,0,0,1,4,44,1,Suspicious
user_110,Canada,employee,ServiceNow,1,1,0,0,0,0,1,0,0,1,1,44,1,Suspicious
user_111,Germany,service_account,GitHub,1,0,0,0,0,0,0,0,1,1,4,37,1,Suspicious
user_112,UK,admin,Salesforce,0,1,0,0,0,1,0,1,0,0,1,34,0,Normal
user_113,Germany,admin,GitHub,0,1,0,0,0,0,1,1,1,0,2,59,1,Suspicious
user_114,UK,contractor,Azure,1,0,0,0,0,0,0,0,0,0,6,18,0,Normal
user_115,Nigeria,service_account,Azure,1,1,0,0,0,0,0,0,0,0,3,22,0,Normal
user_116,US,service_account,GitHub,0,1,0,0,1,1,0,0,0,0,2,49,1,Suspicious
user_117,Canada,manager,GitHub,0,1,0,0,0,1,0,1,0,0,1,34,0,Normal
user_118,Canada,employee,Slack,2,0,0,1,0,0,1,0,0,0,3,50,1,Suspicious
user_119,UK,admin,GitHub,1,0,0,0,0,1,0,0,0,1,6,36,1,Suspicious
user_120,Germany,admin,AWS,1,2,0,0,0,1,1,0,0,0,5,64,1,Suspicious
user_121,Nigeria,service_account,Payroll,1,0,0,0,0,1,0,1,0,0,0,28,0,Normal
user_122,Nigeria,employee,Salesforce,0,2,0,0,0,0,0,0,0,0,2,24,0,Normal
user_123,China,admin,Salesforce,1,1,1,0,0,0,0,1,1,0,5,65,1,Suspicious
user_124,US,admin,Azure,1,1,0,0,0,0,0,0,0,0,4,24,0,Normal
user_125,UK,admin,AWS,2,0,0,0,0,1,0,0,0,0,1,24,0,Normal
user_126,India,service_account,Slack,0,0,0,1,1,0,0,0,0,0,4,47,1,Suspicious
user_127,China,service_account,Salesforce,0,0,0,0,0,1,0,0,0,1,4,26,0,Normal
user_128,Canada,employee,Slack,1,0,0,0,0,0,0,1,0,0,3,24,0,Normal
user_129,UK,service_account,Salesforce,1,0,0,0,0,1,0,0,0,0,2,20,0,Normal
user_130,Russia,service_account,ServiceNow,0,0,1,0,0,0,0,1,0,0,3,30,0,Normal
user_131,UK,contractor,AWS,1,2,0,0,0,0,1,0,0,0,1,46,1,Suspicious
user_132,US,admin,GitHub,0,1,0,0,0,1,0,1,0,0,2,36,1,Suspicious
user_133,US,admin,AWS,3,0,0,0,0,0,1,0,0,0,2,40,1,Suspicious
user_134,Germany,employee,GitHub,0,1,0,1,0,1,0,0,1,0,0,49,1,Suspicious
user_135,China,service_account,Slack,0,0,1,0,0,0,0,1,0,0,3,30,0,Normal
user_136,UK,manager,Azure,2,1,1,0,0,0,1,0,0,1,2,64,1,Suspicious
user_137,UK,manager,Payroll,0,0,1,0,0,0,0,0,0,1,6,32,0,Normal
user_138,US,manager,Slack,2,0,0,0,0,1,0,1,0,1,4,50,1,Suspicious
user_139,Russia,contractor,Azure,2,0,1,0,0,1,1,0,0,0,4,60,1,Suspicious
user_140,Germany,admin,AWS,0,1,1,0,0,0,0,1,0,0,3,40,1,Suspicious
user_141,Canada,contractor,Azure,2,0,0,0,0,0,1,1,0,0,5,52,1,Suspicious
user_142,US,contractor,AWS,1,1,0,1,0,0,0,1,1,0,5,67,1,Suspicious
user_143,Germany,contractor,GitHub,2,1,1,0,0,0,0,0,0,0,3,40,1,Suspicious
user_144,Nigeria,manager,AWS,1,2,0,1,0,0,0,1,0,0,3,58,1,Suspicious
user_145,US,manager,Payroll,2,0,1,0,0,1,0,0,0,0,5,44,1,Suspicious
user_146,Russia,admin,Azure,2,0,0,0,0,0,0,1,0,0,2,28,0,Normal
user_147,Canada,admin,GitHub,0,0,0,0,0,0,1,0,0,0,2,22,0,Normal
user_148,China,service_account,GitHub,1,0,0,0,0,0,1,0,0,0,2,28,0,Normal
user_149,US,employee,GitHub,1,0,0,1,0,1,1,0,0,0,5,58,1,Suspicious
user_150,UK,service_account,GitHub,3,1,0,0,0,0,0,0,0,0,2,32,0,Normal
user_151,US,employee,ServiceNow,0,0,0,1,0,0,0,0,0,0,4,22,0,Normal
user_152,China,admin,Slack,1,0,0,0,0,0,0,0,0,0,6,18,0,Normal
user_153,Russia,contractor,ServiceNow,1,0,0,0,0,1,1,1,0,0,5,56,1,Suspicious
user_154,Canada,contractor,ServiceNow,0,0,0,1,0,0,0,0,0,0,1,16,0,Normal
user_155,Germany,admin,Salesforce,0,1,0,0,1,0,0,0,0,0,3,41,1,Suspicious
user_156,China,employee,ServiceNow,0,0,0,0,0,0,0,1,0,1,5,30,0,Normal
user_157,Germany,admin,Payroll,2,0,0,0,0,0,1,1,0,0,2,46,1,Suspicious
user_158,Canada,admin,ServiceNow,0,0,1,0,0,0,0,0,0,0,6,24,0,Normal
user_159,Russia,employee,Slack,1,0,0,0,1,1,0,0,0,0,3,47,1,Suspicious
user_160,Nigeria,service_account,GitHub,2,0,1,0,0,0,0,0,0,0,4,32,0,Normal
user_161,China,admin,Payroll,2,1,1,0,0,1,0,1,0,0,5,66,1,Suspicious
user_162,Nigeria,service_account,AWS,1,1,0,0,0,1,0,0,1,0,4,49,1,Suspicious
user_163,Germany,contractor,Slack,3,1,0,0,0,0,0,0,0,0,1,30,0,Normal
user_164,China,manager,ServiceNow,0,0,1,1,0,1,0,0,0,0,2,40,1,Suspicious
user_165,Nigeria,contractor,ServiceNow,0,0,0,0,0,1,1,0,1,0,4,51,1,Suspicious
user_166,US,admin,GitHub,0,1,1,0,0,0,0,0,0,0,5,32,0,Normal
user_167,Germany,contractor,Azure,1,0,0,0,0,0,0,0,0,0,0,6,0,Normal
user_168,Russia,contractor,Payroll,0,1,1,0,0,1,0,0,0,0,6,44,1,Suspicious
user_169,India,manager,ServiceNow,1,1,0,0,0,0,0,1,0,1,4,44,1,Suspicious
user_170,India,manager,Slack,2,0,1,0,0,0,0,0,0,0,4,32,0,Normal
user_171,Canada,admin,ServiceNow,1,1,0,0,0,0,0,1,0,0,4,36,1,Suspicious
user_172,Russia,employee,Azure,0,0,0,0,0,1,0,0,0,0,2,14,0,Normal
user_173,Germany,admin,AWS,1,0,0,0,1,0,0,0,0,0,3,37,1,Suspicious
user_174,Germany,manager,Salesforce,2,0,0,0,0,0,0,0,0,0,3,18,0,Normal
user_175,US,manager,Payroll,3,0,0,0,0,0,0,1,0,0,6,42,1,Suspicious
user_176,Canada,contractor,Payroll,0,0,0,0,0,1,0,0,0,0,3,16,0,Normal
user_177,Germany,contractor,Payroll,1,0,1,0,0,0,0,0,0,0,4,26,0,Normal
user_178,China,manager,AWS,0,0,1,0,0,0,0,0,0,0,1,14,0,Normal
user_179,US,employee,Azure,3,1,1,1,0,1,0,0,0,0,1,66,1,Suspicious
user_180,China,manager,AWS,1,4,1,0,0,0,0,0,0,0,3,64,1,Suspicious
user_181,India,employee,ServiceNow,0,0,0,1,0,0,0,0,0,0,1,16,0,Normal
user_182,Germany,employee,Payroll,0,0,0,0,0,0,1,1,0,0,6,42,1,Suspicious
user_183,UK,contractor,Slack,1,0,0,0,0,0,1,0,0,0,0,24,0,Normal
user_184,Russia,contractor,ServiceNow,0,0,1,0,1,0,0,0,0,0,5,47,1,Suspicious
user_185,China,service_account,Payroll,2,0,0,0,0,1,0,0,0,1,4,38,1,Suspicious
user_186,UK,contractor,Payroll,2,0,1,0,0,0,0,0,0,0,2,28,0,Normal
user_187,Nigeria,manager,Azure,1,0,0,0,0,1,1,0,0,0,3,40,1,Suspicious
user_188,Nigeria,service_account,Payroll,2,0,1,0,1,1,0,0,0,0,4,67,1,Suspicious
user_189,Germany,admin,Payroll,1,0,0,0,0,1,0,0,0,0,9,34,0,Normal
user_190,Canada,admin,AWS,1,0,0,1,0,1,0,0,1,0,2,49,1,Suspicious
user_191,Nigeria,admin,GitHub,1,0,1,0,0,1,0,0,0,1,2,40,1,Suspicious
user_192,Canada,manager,AWS,1,1,1,0,0,0,1,0,0,0,5,56,1,Suspicious
user_193,Germany,contractor,Slack,2,1,0,0,0,0,0,0,0,0,2,26,0,Normal
user_194,UK,manager,Salesforce,1,0,0,0,1,0,0,0,0,0,2,35,1,Suspicious
user_195,China,contractor,GitHub,0,0,1,0,0,0,1,0,0,0,3,36,1,Suspicious
user_196,India,contractor,Salesforce,0,0,0,0,0,0,1,0,0,0,2,22,0,Normal
user_197,Germany,contractor,Payroll,2,0,0,1,0,0,0,0,0,0,4,34,0,Normal
user_198,US,service_account,Payroll,3,0,0,0,0,0,0,0,0,1,3,32,0,Normal
user_199,India,employee,GitHub,1,0,0,0,0,1,0,0,0,0,0,16,0,Normal
user_200,Nigeria,contractor,Azure,1,1,0,0,0,1,0,0,0,0,2,30,0,Normal
user_201,China,service_account,Slack,1,1,0,1,0,1,1,1,0,0,4,78,2,High Risk
user_202,Germany,contractor,AWS,1,0,0,0,0,1,0,1,0,0,3,34,0,Normal
user_203,Nigeria,contractor,Payroll,2,1,0,0,0,0,0,0,1,0,4,45,1,Suspicious
user_204,US,contractor,GitHub,0,0,0,0,0,1,0,0,0,0,3,16,0,Normal
user_205,China,manager,Azure,0,2,1,1,0,0,0,1,0,0,3,64,1,Suspicious
user_206,India,manager,ServiceNow,4,0,0,0,0,0,0,0,0,0,0,24,0,Normal
user_207,US,contractor,ServiceNow,2,0,0,0,0,1,0,0,0,0,3,28,0,Normal
user_208,US,employee,Slack,1,0,1,0,0,0,0,0,0,0,2,22,0,Normal
user_209,China,manager,Azure,2,0,0,0,0,0,0,0,0,1,2,24,0,Normal
user_210,India,manager,Salesforce,0,1,0,0,0,0,0,0,0,0,6,22,0,Normal
user_211,Nigeria,contractor,GitHub,0,2,0,0,0,1,0,0,0,0,2,34,0,Normal
user_212,Germany,contractor,GitHub,1,0,1,0,1,0,0,0,0,0,1,45,1,Suspicious
user_213,Russia,contractor,GitHub,1,1,0,0,0,0,0,1,0,0,2,32,0,Normal
user_214,China,admin,Azure,3,0,0,0,0,0,0,1,0,1,6,50,1,Suspicious
user_215,Canada,contractor,Salesforce,1,0,0,0,0,0,0,1,0,0,2,22,0,Normal
user_216,US,admin,AWS,3,1,1,0,0,0,0,1,0,0,5,62,1,Suspicious
user_217,Canada,employee,Azure,0,1,0,0,0,0,1,0,0,0,7,42,1,Suspicious
user_218,US,manager,AWS,1,0,0,0,1,0,0,1,0,1,1,53,1,Suspicious
user_219,US,service_account,AWS,1,0,0,0,0,0,0,0,0,0,2,10,0,Normal
user_220,Germany,manager,Payroll,2,1,0,0,1,1,0,1,0,0,5,79,2,High Risk
user_221,Canada,service_account,AWS,4,0,0,0,0,0,0,1,0,0,4,44,1,Suspicious
user_222,India,admin,Azure,2,1,0,0,0,0,1,0,0,1,5,58,1,Suspicious
user_223,Russia,manager,ServiceNow,1,1,0,0,0,0,0,0,0,1,5,34,0,Normal
user_224,Canada,manager,GitHub,1,2,1,0,1,0,1,0,0,0,5,91,2,High Risk
user_225,Canada,service_account,Salesforce,0,0,0,0,0,0,0,0,1,0,4,23,0,Normal
user_226,Nigeria,service_account,Slack,0,0,0,0,0,0,0,0,0,0,2,4,0,Normal
user_227,China,contractor,Slack,0,0,0,0,0,0,0,0,0,0,2,4,0,Normal
user_228,Germany,employee,ServiceNow,1,1,0,0,0,0,0,1,0,0,5,38,1,Suspicious
user_229,Germany,employee,Slack,1,0,0,0,0,1,0,0,0,0,1,18,0,Normal
user_230,Nigeria,service_account,Azure,1,0,0,0,0,0,0,0,0,0,2,10,0,Normal
user_231,Canada,service_account,Azure,0,0,1,0,0,1,0,0,0,0,1,24,0,Normal
user_232,US,admin,ServiceNow,3,1,0,1,0,0,0,1,0,0,3,60,1,Suspicious
user_233,China,admin,Salesforce,0,0,1,0,0,0,0,1,0,0,3,30,0,Normal
user_234,Russia,employee,Azure,3,1,0,0,0,0,0,1,0,0,1,42,1,Suspicious
user_235,China,contractor,Salesforce,1,1,0,0,0,0,0,0,0,0,3,22,0,Normal
user_236,China,admin,Slack,1,1,0,0,0,0,0,0,0,0,3,22,0,Normal
user_237,India,manager,Payroll,3,1,0,0,1,1,0,0,0,1,0,71,2,High Risk
user_238,UK,service_account,Slack,2,1,0,0,0,0,0,1,1,0,2,53,1,Suspicious
user_239,Nigeria,service_account,Azure,0,0,0,0,1,0,0,0,0,0,6,37,1,Suspicious
user_240,India,contractor,Payroll,0,0,0,0,0,1,1,1,0,0,2,44,1,Suspicious
user_241,Nigeria,admin,Azure,0,0,1,0,0,0,0,0,0,0,2,16,0,Normal
user_242,Germany,employee,GitHub,2,1,1,0,0,0,1,0,0,0,3,58,1,Suspicious
user_243,India,manager,Azure,1,1,0,0,0,0,0,0,0,0,5,26,0,Normal
user_244,India,service_account,ServiceNow,2,0,0,0,0,0,0,0,0,0,4,20,0,Normal
user_245,China,admin,Salesforce,1,0,0,0,0,1,0,0,0,1,4,32,0,Normal
user_246,India,admin,AWS,2,0,0,0,0,0,1,0,0,0,1,32,0,Normal
user_247,India,manager,GitHub,3,0,0,0,0,1,0,0,0,0,4,36,1,Suspicious
user_248,Nigeria,admin,GitHub,1,0,1,0,0,0,1,0,0,0,7,50,1,Suspicious
user_249,Nigeria,service_account,Salesforce,1,0,0,0,0,1,0,1,0,1,3,42,1,Suspicious
user_250,Germany,employee,AWS,2,0,0,0,0,0,0,1,1,0,6,51,1,Suspicious
user_251,China,contractor,ServiceNow,0,1,0,0,0,0,1,0,0,0,3,34,0,Normal
user_252,Germany,contractor,Slack,0,0,0,1,0,0,0,0,0,0,1,16,0,Normal
user_253,India,contractor,Azure,0,2,0,1,0,0,0,0,0,0,0,34,0,Normal
user_254,US,employee,GitHub,1,1,0,0,0,1,0,0,0,0,3,32,0,Normal
user_255,Germany,contractor,Slack,1,1,0,0,1,0,0,0,0,0,2,45,1,Suspicious
user_256,Germany,admin,Slack,1,0,0,0,0,0,1,1,0,0,2,40,1,Suspicious
user_257,Russia,contractor,ServiceNow,1,0,0,0,0,0,0,1,0,0,2,22,0,Normal
user_258,Russia,contractor,Slack,3,0,0,0,0,0,0,0,1,0,7,47,1,Suspicious
user_259,Russia,admin,Slack,1,0,0,0,0,0,1,1,0,0,1,38,1,Suspicious
user_260,India,admin,GitHub,1,2,0,0,0,1,0,0,1,0,5,61,1,Suspicious
user_261,Nigeria,manager,Salesforce,1,0,0,0,0,0,0,1,0,0,3,24,0,Normal
user_262,Germany,admin,Salesforce,1,0,1,0,0,0,0,0,0,0,2,22,0,Normal
user_263,UK,manager,AWS,0,2,1,0,0,0,0,0,0,0,3,38,1,Suspicious
user_264,India,admin,Slack,0,0,0,1,0,0,0,1,0,0,2,30,0,Normal
user_265,Nigeria,employee,Azure,2,1,0,0,0,0,0,1,1,0,1,51,1,Suspicious
user_266,Germany,admin,AWS,2,0,0,0,0,0,0,1,1,0,1,41,1,Suspicious
user_267,Russia,manager,GitHub,1,1,0,0,0,0,0,1,0,0,5,38,1,Suspicious
user_268,US,service_account,AWS,1,1,0,0,0,0,0,1,0,1,3,42,1,Suspicious
user_269,Nigeria,employee,Salesforce,0,0,0,0,0,0,0,1,0,0,2,16,0,Normal
user_270,Nigeria,manager,Slack,0,0,0,0,0,0,1,0,0,0,2,22,0,Normal
user_271,India,employee,Azure,3,0,0,0,0,1,0,0,1,0,1,45,1,Suspicious
user_272,US,service_account,GitHub,2,1,0,0,0,1,0,0,0,1,1,42,1,Suspicious
user_273,India,contractor,Payroll,0,0,0,0,1,0,0,0,0,1,3,39,1,Suspicious
user_274,Russia,manager,Salesforce,1,2,1,0,0,0,0,0,0,0,2,42,1,Suspicious
user_275,Nigeria,contractor,Salesforce,0,0,0,0,0,0,0,1,0,0,4,20,0,Normal
user_276,Canada,contractor,Payroll,0,0,0,0,1,1,0,1,0,0,5,57,1,Suspicious
user_277,Canada,service_account,Slack,2,1,0,0,0,1,0,0,0,1,0,40,1,Suspicious
user_278,US,manager,AWS,1,1,0,0,0,0,0,0,1,0,2,35,1,Suspicious
user_279,Nigeria,employee,AWS,3,1,1,0,0,0,0,1,0,0,3,58,1,Suspicious
user_280,Canada,service_account,Azure,0,0,0,0,0,0,0,0,0,0,2,4,0,Normal
user_281,China,service_account,ServiceNow,1,0,0,0,0,0,0,0,0,0,3,12,0,Normal
user_282,Germany,service_account,Payroll,0,0,0,0,0,0,1,1,0,0,1,32,0,Normal
user_283,India,contractor,GitHub,0,0,0,0,1,0,1,0,0,0,1,45,1,Suspicious
user_284,China,admin,ServiceNow,2,0,0,0,0,0,0,1,0,0,2,28,0,Normal
user_285,US,service_account,Slack,0,0,0,0,0,0,1,0,0,0,5,28,0,Normal
user_286,Canada,manager,Slack,1,1,0,0,0,0,0,1,0,1,1,38,1,Suspicious
user_287,Germany,admin,Slack,0,0,0,0,0,1,0,1,0,0,5,32,0,Normal
user_288,Canada,manager,AWS,0,1,0,0,0,0,0,0,0,0,2,14,0,Normal
user_289,UK,service_account,Salesforce,0,1,0,0,0,1,0,0,0,0,3,26,0,Normal
user_290,UK,employee,Payroll,0,0,0,0,0,0,0,1,0,0,2,16,0,Normal
user_291,India,service_account,Payroll,1,1,0,1,0,1,0,1,0,0,3,58,1,Suspicious
user_292,Nigeria,employee,AWS,0,0,0,0,0,0,0,0,0,0,2,4,0,Normal
user_293,Nigeria,admin,Slack,1,0,0,0,0,1,0,0,0,0,6,28,0,Normal
user_294,India,employee,Slack,1,0,1,0,0,0,1,0,0,0,4,44,1,Suspicious
user_295,Germany,admin,Azure,3,1,0,1,0,0,0,1,0,0,3,60,1,Suspicious
